table,id,slug,locale,field,jsonb_key,n_tokens,n_ngrams,n_overlap,en_ratio,char_len
blog_posts,fcc496f5-3ee9-4622-919d-4b18914c2d6f,tub-vs-shower-vancouver-which-adds-more-value,tl,excerpt,excerptTl,41,37,33,0.8919,214
blog_posts,9ea00f7c-d274-445b-83b1-686017631272,pre-1980-home-renovation-vancouver-what-to-expect,tl,excerpt,excerptTl,40,36,31,0.8611,245
blog_posts,442e37d4-c371-4821-8784-946d500c6f51,update-kitchen-without-full-renovation-under-15k-vancouver,tl,excerpt,excerptTl,38,34,29,0.8529,222
blog_posts,842db1b6-df63-4095-8ee5-44b2c5ab93b4,strata-renovation-rules-vancouver,tl,excerpt,excerptTl,36,32,27,0.8438,219
blog_posts,2fdd7332-5021-44b8-a0a2-270d4e2c503c,vancouver-multiplex-laneway-renovation-guide-2026,tl,excerpt,excerptTl,52,48,40,0.8333,334
blog_posts,7e9ebc6a-c64a-4d33-8c0f-e3f3cddc31a6,renovation-insurance-guide-bc,tl,excerpt,excerptTl,34,30,25,0.8333,228
blog_posts,306cbc68-c651-474f-a7c2-cc6953af61fb,how-to-read-renovation-quote-line-items,tl,excerpt,excerptTl,38,34,28,0.8235,210
blog_posts,31883d84-51a2-461b-9110-2fe38015d49f,restaurant-renovation-cost-vancouver,tl,excerpt,excerptTl,46,42,34,0.8095,313
blog_posts,371e4902-5835-43ec-bf27-12dc0af52538,multi-generational-home-renovation-vancouver-2026,tl,excerpt,excerptTl,51,47,38,0.8085,298
blog_posts,91161717-ba53-4b7b-8c71-7b7b19e1241b,best-bathroom-tiles-vancouver-2026,tl,excerpt,excerptTl,30,26,21,0.8077,192
blog_posts,a023b2f9-503b-4173-aa52-91a61971aee3,aging-in-place-renovation-guide-bc,tl,excerpt,excerptTl,30,26,21,0.8077,200
blog_posts,2f5f7439-c678-45d6-b435-6cbf70c85505,ikea-sektion-vs-custom-kitchen-cabinets-vancouver-2026,tl,excerpt,excerptTl,39,35,28,0.8,245
blog_posts,3ddcdf43-a511-4946-9870-483f0676e11b,bathroom-renovations-west-vancouver-2026,tl,excerpt,excerptTl,43,39,31,0.7949,299
blog_posts,dca028a4-b4f1-41d8-b8ec-02407e641e29,best-kitchen-cabinets-vancouver-stock-vs-custom-2026,tl,excerpt,excerptTl,35,31,24,0.7742,231
blog_posts,f622fd93-13b9-409e-865d-fa96b671a0ae,quartz-vs-granite-countertops-vancouver-2026,tl,excerpt,excerptTl,30,26,20,0.7692,206
blog_posts,0a356dc0-ab65-487b-bfc1-6fe626b1f8f2,vancouver-renovation-tax-credits-rebates-2026,tl,excerpt,excerptTl,33,29,22,0.7586,222
blog_posts,876f3fa9-49e2-41c5-8aef-a81bea39db1b,kitchen-cabinet-colour-timeless-vancouver,tl,excerpt,excerptTl,35,31,23,0.7419,195
blog_posts,4c4ea513-2914-410d-9b19-d8128ab94039,small-bathroom-renovation-ideas-vancouver-condos-2026,tl,excerpt,excerptTl,30,26,19,0.7308,209
blog_posts,731326b8-33f8-45e4-a7ce-4baed4b01d4a,duplex-renovation-vancouver-costs-permits-2026,tl,excerpt,excerptTl,33,29,21,0.7241,202
blog_posts,6b56391b-a7b9-45b9-b13c-f5d49aced950,renovation-financing-vancouver-heloc,tl,excerpt,excerptTl,46,42,30,0.7143,310
blog_posts,72e01e4f-cbc7-409f-9b47-86e65a256831,how-to-choose-renovation-company-zh,tl,excerpt,excerptTl,33,29,19,0.6552,213
blog_posts,6b03b30f-8795-44cf-bc0c-781458f83de2,summer-renovation-vancouver-2026-best-projects,tl,excerpt,excerptTl,35,31,20,0.6452,210
blog_posts,4432a642-ade6-40d3-ab16-505ddea799bf,powder-room-renovation-vancouver-cost-design-2026,tl,excerpt,excerptTl,34,30,18,0.6,212
blog_posts,42325dba-ebdc-4c80-8a23-e4ed3ef38671,bathroom-renovations-white-rock-bc-2026,tl,excerpt,excerptTl,43,39,22,0.5641,307
blog_posts,b0d59760-e2eb-4a10-98b0-a8c8a94ff583,open-concept-kitchen-vancouver-load-bearing-wall-cost,tl,excerpt,excerptTl,32,28,15,0.5357,218
blog_posts,85e1092d-8839-4ee7-b75b-45dda0e1be6c,spring-renovation-checklist-vancouver-2026,tl,excerpt,excerptTl,30,26,13,0.5,183
blog_posts,748491ab-98a5-4205-905c-e693a877571f,renovation-permits-bc-guide,tl,excerpt,excerptTl,45,41,20,0.4878,256
blog_posts,6b56391b-a7b9-45b9-b13c-f5d49aced950,renovation-financing-vancouver-heloc,tl,content,contentTl,1633,1607,645,0.4014,13035
blog_posts,31883d84-51a2-461b-9110-2fe38015d49f,restaurant-renovation-cost-vancouver,fa,content,contentFa,1463,1454,504,0.3466,11965
